"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","292.59268799933506","66.71397593106454","4.6356476368744755","-0.3132760394092362","0.00830078125","0.00732421875","0.00927734375","1216","0.00020403352255040296","0","0.00020403352255040296","0.00020403352255040296","","","true"
"1","415.2419571983884","299.6475337526325","4.736287414208888","-0.3129180725120383","0.064697265625","0.0390625","0.09033203125","1216","0.0002500990146242979","0","0.0002500990146242979","0.0002500990146242979","1_0:0.011321701946417462;1_2:0.008948938785965865","1_0:533.3333333333333;1_2:533.3333333333333","true"
"2","278.66267475705394","208.73484006754168","4.819178206037772","-0.3112951524093254","0.02978515625","0.0302734375","0.029296875","1216","0.0001694622784229862","0","0.0001694622784229862","0.0001694622784229862","","","true"
"3","323.1959545911278","333.56456560909817","4.747182451268234","-0.3111534699659636","0.027587890625","0.0205078125","0.03466796875","1216","0.0003805360040766203","0","0.0003805360040766203","0.0003805360040766203","3_2:0.00977156624690223","3_2:533.3333333333333","true"
"4","389.2730402551607","192.44484206910215","4.787862828808467","-0.31094540176555985","0.052001953125","0.009765625","0.09423828125","1216","0.00009146999178512775","0","0.00009146999178512775","0.00009146999178512775","4_15:0.0126391235989613;4_3:0.01014675813210869","4_15:533.3333333333333;4_3:533.3333333333333","true"
"5","172.75909991425792","78.91898308667757","4.850808293789032","-0.31056606217183785","0.166015625","0.283203125","0.048828125","1216","0.0008688729537230527","0","0.0008688729537230527","0.0008688729537230527","5_4:0.004694115695756729","5_4:533.3333333333333","true"
"6","237.40349651795418","35.025485332311256","4.899510968850003","-0.3090557835234433","0.074462890625","0.03271484375","0.1162109375","1216","0.00012118857475846411","0","0.00012118857475846411","0.00012118857475846411","6_5:0.006956390000737778","6_5:533.3333333333333","true"
"7","242.40712681499016","100.31641434043092","4.755815572119131","-0.31100390518358323","0.042236328125","0.0185546875","0.06591796875","1216","0.0003966280200323997","0","0.0003966280200323997","0.0003966280200323997","7_6:0.00572904330242624;7_8:0.015851988799874928","7_6:533.3333333333333;7_8:533.3333333333333","true"
"8","394.1651058571488","17.282471331162924","4.812540794642816","-0.31334511346081884","0.088623046875","0.06884765625","0.1083984375","1216","0.0005850872553505538","0","0.0005850872553505538","0.0005850872553505538","8_9:0.010343039423718281","8_9:533.3333333333333","true"
"9","291.84655218305363","65.76931818337837","4.637943274133515","-0.29264088813258476","0.06884765625","0.10107421875","0.03662109375","1216","0.0002811593901084648","0","0.0002811593901084648","0.0002811593901084648","","","true"
"10","294.00212010322986","218.91945884621373","4.8043532635872666","-0.31122742580861","0.008056640625","0.0068359375","0.00927734375","1216","0.0003546684672851371","0","0.0003546684672851371","0.0003546684672851371","10_9:0.008732639617139493;10_11:0.0074561271329428025","10_9:533.3333333333333;10_11:533.3333333333333","true"
"11","338.9529225502923","85.09639334382851","4.7433100336388705","-0.31179417408967897","0.0107421875","0.00732421875","0.01416015625","1216","0.00018529380273624247","0","0.00018529380273624247","0.00018529380273624247","11_12:0.0032647148506766976","11_12:533.3333333333333","true"
"12","420.7985116527706","278.36217946335495","4.6259750846260435","-0.31372359565205904","0.04296875","0.04296875","0.04296875","1216","0.00019173576846290654","0","0.00019173576846290654","0.00019173576846290654","12_13:0.007626401004691863","12_13:533.3333333333333","true"
"13","346.2049267112321","146.79764725115265","4.556955302627457","-0.31377871528415735","0.04833984375","0.025390625","0.0712890625","1216","0.0006574252664696224","0","0.0006574252664696224","0.0006574252664696224","","","true"
"14","262.62408162006733","88.89452398619707","4.510067200028789","-0.3157712274724498","0.028564453125","0.029296875","0.02783203125","1216","0.00045290611168944024","0","0.00045290611168944024","0.00045290611168944024","14_0:0.015589458974094417;14_18:0.014951828403440504","14_0:533.3333333333333;14_18:533.3333333333333","true"
"15","473.318692112023","353.80336092250286","4.599062647770878","-0.32044986829453664","0.096435546875","0.08056640625","0.1123046875","1216","0.0009257727442540596","0","0.0009257727442540596","0.0009257727442540596","","","true"
"16","283.4225771031612","61.314413029446975","4.937454383808195","-0.3088315131283205","0.042724609375","0.0341796875","0.05126953125","1216","0.0004700874250348505","0","0.0004700874250348505","0.0004700874250348505","16_8:1","16_8:533.3333333333333","true"
"17","383.8551380642774","18.737652324842994","4.752767239734469","-0.31153154230934604","0.01611328125","0.0126953125","0.01953125","1216","0.0007216222854557194","0","0.0007216222854557194","0.0007216222854557194","17_12:0.0048643281156899865;17_30:0.006060787428138592","17_12:590.2222222222222;17_30:590.2222222222222","true"
"18","452.3250939237751","19.925044881905784","4.659316092164205","-0.2892599847835004","0.0546875","0.03515625","0.07421875","1216","0.0004482149039624512","0","0.0004482149039624512","0.0004482149039624512","18_19:0.013423710123767196","18_19:533.3333333333333","true"
"19","399.4911745280714","139.02471497615696","4.820734042298932","-0.31198328628677313","0.031005859375","0.01904296875","0.04296875","1216","0.00012096295565106895","0","0.00012096295565106895","0.00012096295565106895","19_20:0.005704143829518171","19_20:533.3333333333333","true"
