"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","224.08727568067368","314.6030332319314","0.159912109375","0.12451171875","0.1953125","1560","0.0021096517060850027","0.0021096517060850027","0","0.0021096517060850027","0.0021096517060850027","0_15:0.004477792936202318;0_1:0.003381684181616218","0_15:0.003510493691383121;0_1:0.0030692235452052796","0_15:68;0_1:68","true"
"1","242.3594658816548","247.31260326996764","0.020263671875","0.0234375","0.01708984375","1560","0.0001554638186075779","0.0001554638186075779","0","0.0001554638186075779","0.0001554638186075779","1_2:0.0028932236089324603;1_0:0.003381684181616218","1_2:0.0044043635483111965;1_0:0.0030692235452052796","1_2:68;1_0:68","true"
"2","170.39288579492654","127.45442625477482","0.03955078125","0.05224609375","0.02685546875","1560","0.0004130004817325533","0.0004130004817325533","0","0.0004130004817325533","0.0004130004817325533","2_1:0.0028932236089324603;2_3:0.00268067233616881","2_1:0.0044043635483111965;2_3:0.003733681953600354","2_1:68;2_3:68","true"
"3","139.265978307495","95.0206783280532","0.017822265625","0.02685546875","0.0087890625","1560","0.0003083340541583381","0.0003083340541583381","0","0.0003083340541583381","0.0003083340541583381","3_2:0.00268067233616881;3_4:0.003071373947002465","3_2:0.003733681953600354;3_4:0.0026044117314802107","3_2:68;3_4:68","true"
"4","155.89025123004086","172.62500267234503","0.0478515625","0.04248046875","0.05322265625","1560","0.00015310014465715177","0.00015310014465715177","0","0.00015310014465715177","0.00015310014465715177","4_3:0.003071373947002465;4_5:0.0036184697109538644;4_16:0.0030765323830915237","4_3:0.0026044117314802107;4_5:0.004690084208627626;4_16:0.006489809544479391","4_3:68;4_5:68;4_16:80","true"
"5","278.6313623579059","224.9069535296011","0.010009765625","0.0087890625","0.01123046875","1560","0.0001850351040534776","0.0001850351040534776","0","0.0001850351040534776","0.0001850351040534776","5_6:0.003753390002271373;5_4:0.0036184697109538644","5_6:0.005774102561426936;5_4:0.004690084208627626","5_6:68;5_4:68","true"
"6","52.32370618386641","90.01376648141004","0.01416015625","0.02294921875","0.00537109375","1560","0.00036310400002405194","0.00036310400002405194","0","0.00036310400002405194","0.00036310400002405194","6_5:0.003753390002271373;6_7:0.004761565920189281","6_5:0.005774102561426936;6_7:0.007456282675501802","6_5:68;6_7:68","true"
"7","65.764898975174","77.18591461088522","0.0126953125","0.01806640625","0.00732421875","1560","0.0010627971583674447","0.0010627971583674447","0","0.0010627971583674447","0.0010627971583674447","7_6:0.004761565920189281;7_8:0.0036120464356061976","7_6:0.007456282675501802;7_8:0.00515754485008868","7_6:68;7_8:68","true"
"8","39.707735396351936","209.17936350976032","0.03662109375","0.0390625","0.0341796875","1560","0.0002403683928881725","0.0002403683928881725","0","0.0002403683928881725","0.0002403683928881725","8_9:0.005427338346456478;8_17:0.004717393067882769;8_7:0.0036120464356061976","8_9:0.005299797332753348;8_17:0.0051162910070912115;8_7:0.00515754485008868","8_9:68;8_17:108;8_7:68","true"
"9","147.8790734406206","128.31068824647625","0.024658203125","0.02978515625","0.01953125","1560","0.0006391175970624303","0.0006391175970624303","0","0.0006391175970624303","0.0006391175970624303","9_8:0.005427338346456478;9_10:0.005364072452464674","9_8:0.005299797332753348;9_10:0.004052814853206077","9_8:68;9_10:68","true"
