"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"10","223.53572471053627","175.11366926755235","0.004638671875","0.005859375","0.00341796875","1560","0.00018445394050314664","0.00018445394050314664","0","0.00018445394050314664","0.00018445394050314664","10_9:0.002747574097502703;10_11:0.012269636276411866","10_9:1;10_11:0.005525009609620102","10_9:84;10_11:84","true"
"11","106.70551804970532","65.8738566331522","0.012939453125","0.013671875","0.01220703125","1560","0.0001654794481166285","0.0001654794481166285","0","0.0001654794481166285","0.0001654794481166285","11_18:0.029147787170335948;11_10:0.012269636276411866;11_12:0.014284166408342347","11_18:0.014590570546220594;11_10:0.005525009609620102;11_12:0.004288823281676096","11_18:84;11_10:84;11_12:84","true"
"12","76.95011991847377","73.17565597388736","0.02490234375","0.02783203125","0.02197265625","1560","0.00047206573460358074","0.00047206573460358074","0","0.00047206573460358074","0.00047206573460358074","12_13:0.006283091182521572;12_11:0.014284166408342347","12_13:0.006339486538903566;12_11:0.004288823281676096","12_13:84;12_11:84","true"
"13","275.30927912427677","171.1798954832544","0.015869140625","0.01904296875","0.0126953125","1560","0.0001429057333433747","0.0001429057333433747","0","0.0001429057333433747","0.0001429057333433747","13_12:0.006283091182521572;13_14:0.0025631486906350642","13_12:0.006339486538903566;13_14:1","13_12:84;13_14:84","true"
"14","204.36331648458898","86.76463729574174","0.00390625","0.00537109375","0.00244140625","1560","0.0002623698158699383","0.0002623698158699383","0","0.0002623698158699383","0.0002623698158699383","14_15:0.003033255840933502;14_13:0.0025631486906350642","14_15:0.003654339621709801;14_13:1","14_15:84;14_13:84","true"
"15","289.69792805973884","152.5771422292422","0.014404296875","0.0224609375","0.00634765625","1560","0.00022834053472293466","0.00022834053472293466","0","0.00022834053472293466","0.00022834053472293466","15_14:0.003033255840933502;15_19:0.002740372485740994","15_14:0.003654339621709801;15_19:0.004863002371124275","15_14:84;15_19:84","true"
"16","229.48982174115554","96.47962817989969","0.005859375","0.0107421875","0.0009765625","1560","0.0003013100590819116","0.0003013100590819116","0","0.0003013100590819116","0.0003013100590819116","16_23:0.0031923595371360913;16_3:0.0032789888827248204","16_23:0.005282996476177887;16_3:0.005162221644706477","16_23:84;16_3:84","true"
"17","161.60281067930302","105.6249827640982","0.006103515625","0.0087890625","0.00341796875","1560","0.00015743027317879988","0.00015743027317879988","0","0.00015743027317879988","0.00015743027317879988","17_7:0.005532214474813335;17_27:0.014077949077354879","17_7:0.005169351090597463;17_27:0.012185436749548445","17_7:84;17_27:84","true"
"18","163.5879124198192","87.00458663756903","0.0068359375","0.0107421875","0.0029296875","1560","0.0003487120616809767","0.0003487120616809767","0","0.0003487120616809767","0.0003487120616809767","18_11:0.029147787170335948;18_31:0.004368875814219575","18_11:0.014590570546220594;18_31:0.00360999380394722","18_11:84;18_31:84","true"
"19","167.92495794614055","138.27680941910296","0.0068359375","0.01318359375","0.00048828125","1560","0.00048144413667566567","0.00048144413667566567","0","0.00048144413667566567","0.00048144413667566567","19_35:0.003228767158632684;19_15:0.002740372485740994","19_35:0.002598803012980294;19_15:0.004863002371124275","19_35:84;19_15:84","true"
"20","237.38309904912714","192.40464840591275","0.006103515625","0.01025390625","0.001953125","1560","0.0001641257062827647","0.0001641257062827647","0","0.0001641257062827647","0.0001641257062827647","20_21:0.006920701675414809","20_21:0.003398572137814443","20_21:84","true"
"21","233.55281192879602","207.37945403092965","0.0068359375","0.01318359375","0.00048828125","1560","0.00026811118447265733","0.00026811118447265733","0","0.00026811118447265733","0.00026811118447265733","21_36:0.006441121663593452;21_20:0.006920701675414809;21_22:0.003340645288344213","21_36:0.006283231595961669;21_20:0.003398572137814443;21_22:1","21_36:84;21_20:84;21_22:84","true"
"22","144.68081625845213","112.45550312115678","0.0048828125","0.00927734375","0.00048828125","1560","0.00018219877010855538","0.00018219877010855538","0","0.00018219877010855538","0.00018219877010855538","22_23:0.0023788596155348563;22_21:0.003340645288344213","22_23:0.0022572470833516767;22_21:1","22_23:84;22_21:84","true"
"23","281.20581865758857","211.58416522225977","0.00390625","0.00634765625","0.00146484375","1560","0.00012247909477925366","0.00012247909477925366","0","0.00012247909477925366","0.00012247909477925366","23_22:0.0023788596155348563;23_24:0.003017497508012057;23_16:0.0031923595371360913","23_22:0.0022572470833516767;23_24:0.002799959922393347;23_16:0.005282996476177887","23_22:84;23_24:84;23_16:84","true"
"24","92.83202043521369","103.99757981906151","0.0048828125","0.00732421875","0.00244140625","1560","0.002234871026748529","0.002234871026748529","0","0.002234871026748529","0.002234871026748529","24_23:0.003017497508012057;24_25:0.003289183752536562","24_23:0.002799959922393347;24_25:0.003926403331508399","24_23:84;24_25:84","true"
"25","191.74669957136365","113.74174426913899","0.009765625","0.01318359375","0.00634765625","1560","0.000221759597967657","0.000221759597967657","0","0.000221759597967657","0.000221759597967657","25_24:0.003289183752536562;25_26:0.0031194356005850854;25_37:0.0023086259294510247","25_24:0.003926403331508399;25_26:1;25_37:0.002502536186619192","25_24:84;25_26:84;25_37:84","true"
"26","147.24765671960614","116.28871111178142","0.006591796875","0.0107421875","0.00244140625","1560","0.0003100248302194773","0.0003100248302194773","0","0.0003100248302194773","0.0003100248302194773","26_25:0.0031194356005850854;26_27:0.01277536339991836","26_25:1;26_27:0.01607585969204925","26_25:84;26_27:84","true"
"27","141.56410774731916","135.7048000465752","0.005615234375","0.0078125","0.00341796875","1560","0.0006129309803854931","0.0006129309803854931","0","0.0006129309803854931","0.0006129309803854931","27_26:0.01277536339991836;27_28:1;27_17:0.014077949077354879","27_26:0.01607585969204925;27_28:0.22797118168684957;27_17:0.012185436749548445","27_26:84;27_28:84;27_17:84","true"
"28","155.607197119314","125.3574283227465","0.0029296875","0.00439453125","0.00146484375","1560","0.0001546869403709712","0.0001546869403709712","0","0.0001546869403709712","0.0001546869403709712","28_27:1;28_29:0.0050545779830909465","28_27:0.22797118168684957;28_29:0.005269036673314159","28_27:84;28_29:84","true"
"29","167.61763878530306","70.0180936697974","0.00830078125","0.01220703125","0.00439453125","1560","0.00025145158951841203","0.00025145158951841203","0","0.00025145158951841203","0.00025145158951841203","29_38:0.0023716130000021596;29_28:0.0050545779830909465;29_30:0.0032555028059003677","29_38:0.002795544770573921;29_28:0.005269036673314159;29_30:1","29_38:84;29_28:84;29_30:84","true"
"30","140.09148846192755","117.97148371264642","0.007568359375","0.0107421875","0.00439453125","1560","0.00020703217783070286","0.00020703217783070286","0","0.00020703217783070286","0.00020703217783070286","30_31:0.0038492431681232397;30_29:0.0032555028059003677","30_31:0.003184863078304373;30_29:1","30_31:84;30_29:84","true"
"31","185.05284492252193","55.535945922150795","0.01025390625","0.01513671875","0.00537109375","1560","0.00032157772210029414","0.00032157772210029414","0","0.00032157772210029414","0.00032157772210029414","31_30:0.0038492431681232397;31_32:0.07238283447918198;31_18:0.004368875814219575","31_30:0.003184863078304373;31_32:0.008353679342028991;31_18:0.00360999380394722","31_30:84;31_32:84;31_18:84","true"
"32","154.68302583206275","136.81497356424006","0.014404296875","0.02099609375","0.0078125","1560","0.00023856134411557803","0.00023856134411557803","0","0.00023856134411557803","0.00023856134411557803","32_31:0.07238283447918198;32_33:1","32_31:0.008353679342028991;32_33:1","32_31:84;32_33:84","true"
"33","166.93096659752845","118.92658119839547","0.0087890625","0.01513671875","0.00244140625","1560","0.0002055679289246309","0.0002055679289246309","0","0.0002055679289246309","0.0002055679289246309","33_39:0.0027824156956298696;33_32:1;33_34:0.0033976831228628157","33_39:0.003096865890392486;33_32:1;33_34:1","33_39:84;33_32:84;33_34:84","true"
"34","145.91764104744487","58.2659092752097","0.006103515625","0.0087890625","0.00341796875","1560","0.000275073442171793","0.000275073442171793","0","0.000275073442171793","0.000275073442171793","34_33:0.0033976831228628157;34_35:0.00246743501110791","34_33:1;34_35:0.0024239229544647245","34_33:84;34_35:84","true"
"35","227.7143331717114","36.437963007114135","0.005859375","0.0107421875","0.0009765625","1560","0.0002222312175746787","0.0002222312175746787","0","0.0002222312175746787","0.0002222312175746787","35_19:0.003228767158632684;35_34:0.00246743501110791","35_19:0.002598803012980294;35_34:0.0024239229544647245","35_19:84;35_34:84","true"
"36","163.089639631421","108.37366807888853","0.004638671875","0.00634765625","0.0029296875","1560","0.00027285132579737785","0.00027285132579737785","0","0.00027285132579737785","0.00027285132579737785","36_41:0.0028026674837393073;36_21:0.006441121663593452","36_41:0.002301718438085576;36_21:0.006283231595961669","36_41:84;36_21:84","true"
"37","175.29742839996848","132.68432638860955","0.0068359375","0.009765625","0.00390625","1560","0.00018005176577468273","0.00018005176577468273","0","0.00018005176577468273","0.00018005176577468273","37_45:0.0023984738590260846;37_25:0.0023086259294510247","37_45:0.0028498520100153635;37_25:0.002502536186619192","37_45:84;37_25:84","true"
