"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"29","102.92250982205833","163.9038871645321","5.271792715926669","-0.30148159137481634","0.06396484375","0.01513671875","0.11279296875","1112.888888888889","0.00041400599219830274","0","0.00041400599219830274","0.00041400599219830274","29_28:0.012591945570327778;29_30:0.013082182683654742","29_28:586.6666666666666;29_30:586.6666666666666","true"
"30","261.2958302270864","224.17627580421149","5.03380916428004","-0.3060001507270784","0.012939453125","0.01611328125","0.009765625","1112.888888888889","0.00020196571499730425","0","0.00020196571499730425","0.00020196571499730425","","","true"
"31","276.196695520787","225.40308681405276","5.132353549030449","-0.3048058728152884","0.01171875","0.01171875","0.01171875","1112.888888888889","0.00013099300824724936","0","0.00013099300824724936","0.00013099300824724936","31_30:0.005363899313827913","31_30:586.6666666666666","true"
"32","182.49256571428828","186.13915617320333","5.248275283214221","-0.3016392639856351","0.0078125","0.0078125","0.0078125","1112.888888888889","0.0002725052771935708","0","0.0002725052771935708","0.0002725052771935708","32_31:0.006086031231592515","32_31:586.6666666666666","true"
"33","200.7427928838412","195.67205261444212","5.183594567717852","-0.30376345090655676","0.009765625","0.01220703125","0.00732421875","1112.888888888889","0.000558494338753542","0","0.000558494338753542","0.000558494338753542","33_20:0.01299873109631211","33_20:586.6666666666666","true"
"34","187.92180329976978","198.10619891526184","5.0289638648236314","-0.30574381080975416","0.005859375","0.00732421875","0.00439453125","1112.888888888889","0.00017736874122619984","0","0.00017736874122619984","0.00017736874122619984","34_24:0.006028775923270169","34_24:586.6666666666666","true"
"35","160.27327913094277","294.04889985761696","5.1051626996225","-0.3032169533180128","0.0107421875","0.01171875","0.009765625","1112.888888888889","0.00031705516838535016","0","0.00031705516838535016","0.00031705516838535016","35_28:0.008530718864440012;35_47:0.008416347155288662","35_28:586.6666666666666;35_47:586.6666666666666","true"
"36","176.0864131222507","120.31568883335073","5.360535133450603","-0.3269525714195885","0.05322265625","0.0537109375","0.052734375","1112.888888888889","0.00036379700976470154","0","0.00036379700976470154","0.00036379700976470154","36_32:0.01723172287116631","36_32:586.6666666666666","true"
"37","281.27486813899606","313.80809678325414","4.950686891237184","-0.30669654297949234","0.066162109375","0.07177734375","0.060546875","1112.888888888889","0.00009332628549805175","0","0.00009332628549805175","0.00009332628549805175","","","true"
"38","233.29254405659142","315.94552577104145","5.196865968974547","-0.3038371221222461","0.013427734375","0.0126953125","0.01416015625","1112.888888888889","0.00017154068877130516","0","0.00017154068877130516","0.00017154068877130516","38_37:0.005599457146645115","38_37:586.6666666666666","true"
