"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"22","42.42049838087228","50.73999124548533","0.060546875","0.01318359375","0.10791015625","1560","0.00039642414718904864","0.00039642414718904864","0","0.00039642414718904864","0.00039642414718904864","22_23:0.0053112433191664365;22_21:0.038986407855233496","22_23:1;22_21:1","22_23:68;22_21:68","true"
"23","66.59007056051414","223.16077451616093","0.076904296875","0.0126953125","0.14111328125","1560","0.00038561699780947266","0.00038561699780947266","0","0.00038561699780947266","0.00038561699780947266","23_22:0.0053112433191664365;23_24:0.003241307292202844;23_16:0.0032444626780359087","23_22:1;23_24:1;23_16:0.004388992618368059","23_22:68;23_24:68;23_16:184","true"
"24","165.53970900067603","158.37911989271308","0.031494140625","0.0126953125","0.05029296875","1560","0.0003668865417645486","0.0003668865417645486","0","0.0003668865417645486","0.0003668865417645486","24_23:0.003241307292202844;24_25:0.0026893441088326475","24_23:1;24_25:1","24_23:68;24_25:68","true"
"25","233.53893272811575","226.11730161974282","0.116943359375","0.13427734375","0.099609375","1560","0.0003799262613654434","0.0003799262613654434","0","0.0003799262613654434","0.0003799262613654434","25_24:0.0026893441088326475;25_26:0.002662836024319548;25_35:0.003421587490549549","25_24:1;25_26:1;25_35:1","25_24:68;25_26:68;25_35:108","true"
"26","238.17151876867058","177.35490474407348","0.033203125","0.033203125","0.033203125","1560","0.00017049399846709874","0.00017049399846709874","0","0.00017049399846709874","0.00017049399846709874","26_25:0.002662836024319548;26_27:0.002839820253257519","26_25:1;26_27:1","26_25:68;26_27:68","true"
"27","205.77173682854897","111.48907122378176","0.029052734375","0.0263671875","0.03173828125","1560","0.00032532609265664784","0.00032532609265664784","0","0.00032532609265664784","0.00032532609265664784","27_26:0.002839820253257519;27_28:0.004522680485216368;27_17:0.01324302381968906","27_26:1;27_28:1;27_17:0.011108272695859872","27_26:68;27_28:80;27_17:160","true"
"28","172.76864602436808","193.99848103657487","0.00830078125","0.01025390625","0.00634765625","1560","0.00029826484194864206","0.00029826484194864206","0","0.00029826484194864206","0.00029826484194864206","28_27:0.004522680485216368;28_29:0.00412265360117231","28_27:1;28_29:1","28_27:80;28_29:116","true"
"29","179.75071564318813","148.8126213199697","0.01318359375","0.01171875","0.0146484375","1560","0.00026617814035565396","0.00026617814035565396","0","0.00026617814035565396","0.00026617814035565396","29_36:0.0034726183754790196;29_28:0.00412265360117231;29_30:0.00854072226253072","29_36:1;29_28:1;29_30:1","29_36:68;29_28:116;29_30:68","true"
"30","84.32358625704855","131.98146643875535","0.0087890625","0.015625","0.001953125","1560","0.0011638492403466972","0.0011638492403466972","0","0.0011638492403466972","0.0011638492403466972","30_31:0.007684187513199214;30_29:0.00854072226253072","30_31:1;30_29:1","30_31:68;30_29:68","true"
"31","295.59871963946847","286.90492765596235","0.043701171875","0.02783203125","0.0595703125","1560","0.00019189032585518185","0.00019189032585518185","0","0.00019189032585518185","0.00019189032585518185","31_30:0.007684187513199214;31_32:0.0030793319719839007;31_18:0.0021453682171713173","31_30:1;31_32:1;31_18:0.003276426118961534","31_30:68;31_32:68;31_18:68","true"
"32","203.08841801071102","141.2441784260798","0.015625","0.02490234375","0.00634765625","1560","0.00023230669677851972","0.00023230669677851972","0","0.00023230669677851972","0.00023230669677851972","32_31:0.0030793319719839007;32_33:0.0028936079581479146","32_31:1;32_33:1","32_31:68;32_33:68","true"
"33","191.7881709858849","76.61987693028328","0.01904296875","0.0126953125","0.025390625","1560","0.00033892553788887993","0.00033892553788887993","0","0.00033892553788887993","0.00033892553788887993","33_37:0.0026320494234017278;33_32:0.0028936079581479146","33_37:1;33_32:1","33_37:88;33_32:68","true"
"34","260.3992540024869","116.43890408880898","0.127685546875","0.0791015625","0.17626953125","1560","0.00021168654626733198","0.00021168654626733198","0","0.00021168654626733198","0.00021168654626733198","34_21:0.04146133170591232;34_40:0.002261896043619538","34_21:1;34_40:0.002556252105496648","34_21:68;34_40:96","true"
"35","253.70246851835205","154.38533668833662","0.024658203125","0.017578125","0.03173828125","1560","0.000384693258134873","0.000384693258134873","0","0.000384693258134873","0.000384693258134873","35_44:0.0031891299421702435;35_25:0.003421587490549549","35_44:0.004615046495150682;35_25:1","35_44:108;35_25:108","true"
"36","62.61173913632499","98.58826399754084","0.00537109375","0.0087890625","0.001953125","1560","0.0003716766615946107","0.0003716766615946107","0","0.0003716766615946107","0.0003716766615946107","36_48:0.0031495094266065227;36_29:0.0034726183754790196","36_48:0.005673153998585756;36_29:1","36_48:68;36_29:68","true"
"37","151.51804680847764","90.85628480881839","0.003662109375","0.00439453125","0.0029296875","1560","0.00019638786039650292","0.00019638786039650292","0","0.00019638786039650292","0.00019638786039650292","37_33:0.0026320494234017278;37_52:0.0034343999171869144","37_33:1;37_52:1","37_33:88;37_52:104","true"
"38","143.51533590047302","189.69527155747778","0.080322265625","0.06396484375","0.0966796875","1560","0.0002704474961047356","0.0002704474961047356","0","0.0002704474961047356","0.0002704474961047356","38_53:0.05278647136481929;38_39:0.0029299309980908017","38_53:1;38_39:1","38_53:68;38_39:68","true"
"39","156.36294838703873","175.12756588742167","0.013916015625","0.01318359375","0.0146484375","1560","0.0005033832829751145","0.0005033832829751145","0","0.0005033832829751145","0.0005033832829751145","39_38:0.0029299309980908017;39_40:0.0033976743888547434","39_38:1;39_40:1","39_38:68;39_40:68","true"
