"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","237.36364020705798","65.91313534012195","4.721908316964448","-0.31197865973435573","0.03271484375","0.033203125","0.0322265625","1300","0.00014311597366029773","0","0.00014311597366029773","0.00014311597366029773","","","true"
"1","141.12597928865986","100.2605688294401","4.81513590032656","-0.3097440319777085","0.037353515625","0.03515625","0.03955078125","1300","0.0008132692296195726","0","0.0008132692296195726","0.0008132692296195726","1_0:0.016382289453593157","1_0:660","true"
"2","97.43161711627208","31.274625575986377","4.609655107492074","-0.3090875180776862","0.008544921875","0.00927734375","0.0078125","1300","0.0006208257236846906","0","0.0006208257236846906","0.0006208257236846906","2_1:0.021494965253233855","2_1:660","true"
"3","251.98132756518936","290.570063278929","4.875545985705616","-0.30968652168552707","0.02783203125","0.0126953125","0.04296875","1300","0.00015492913491208006","0","0.00015492913491208006","0.00015492913491208006","3_2:0.011703684965051031","3_2:660","true"
"4","237.26478762795782","314.0134792664693","4.818175808974537","-0.3103713081153928","0.020751953125","0.01904296875","0.0224609375","1300","0.00022030442303954567","0","0.00022030442303954567","0.00022030442303954567","4_15:0.005561025553291243;4_3:0.005021940688236248;4_5:0.005017477287058925","4_15:660;4_3:660;4_5:660","true"
"5","258.14772575150556","234.04768118498882","4.7341447892979165","-0.3114518235315779","0.01171875","0.00390625","0.01953125","1300","0.00013423303117506097","0","0.00013423303117506097","0.00013423303117506097","","","true"
"6","302.8640755554127","60.97887020805932","4.876275766278119","-0.30918835047116894","0.03564453125","0.04541015625","0.02587890625","1300","0.00039844937343034263","0","0.00039844937343034263","0.00039844937343034263","6_5:0.015441922038659461;6_7:0.007065321658924872","6_5:660;6_7:660","true"
"7","391.143566101301","279.3010309698385","4.967524822898377","-0.30745739300983294","0.018310546875","0.01708984375","0.01953125","1300","0.000299004730853309","0","0.000299004730853309","0.000299004730853309","7_8:0.003831766206467746","7_8:660","true"
"8","310.0444707871658","210.61750787044303","4.902345248208107","-0.30837827664687645","0.014892578125","0.01171875","0.01806640625","1300","0.00016293783884381544","0","0.00016293783884381544","0.00016293783884381544","8_9:0.005892752655034417","8_9:660","true"
"9","393.39793251528243","202.37379157653262","4.987235069122292","-0.3080310587566364","0.01123046875","0.00732421875","0.01513671875","1300","0.00010548399410730408","0","0.00010548399410730408","0.00010548399410730408","","","true"
"10","351.84779028788574","148.8275628576494","4.831534448410197","-0.3097434424405673","0.01611328125","0.015625","0.0166015625","1300","0.00010568816821627357","0","0.00010568816821627357","0.00010568816821627357","10_9:0.00403262866348425;10_11:0.006126679530358836","10_9:660;10_11:660","true"
"11","205.7224190331731","319.2267262478142","4.972305689737398","-0.307214316560019","0.151123046875","0.1474609375","0.15478515625","1300","0.00028738403212977384","0","0.00028738403212977384","0.00028738403212977384","11_12:0.0039005583807238398","11_12:660","true"
"12","364.07912314798835","189.35969243699216","4.936319107472835","-0.3079608272575031","0.02392578125","0.01220703125","0.03564453125","1300","0.0001529289094327964","0","0.0001529289094327964","0.0001529289094327964","12_17:0.0036152622316787397","12_17:660","true"
"13","396.3724339582156","118.50558715311615","5.005809502119509","-0.3067650398842775","0.0185546875","0.0087890625","0.0283203125","1300","0.00015010956679712003","0","0.00015010956679712003","0.00015010956679712003","13_12:0.005196520008850014","13_12:660","true"
"14","273.79930137327176","93.23245762859224","4.903344760967439","-0.308419961199297","0.02294921875","0.0244140625","0.021484375","1300","0.0003558839176762954","0","0.0003558839176762954","0.0003558839176762954","14_0:0.005912916006175051;14_18:0.006814139530157748","14_0:660;14_18:660","true"
"15","322.07532508001566","46.59909436709368","4.947914953560998","-0.308052427832017","0.010498046875","0.00830078125","0.0126953125","1300","0.00014416664793926953","0","0.00014416664793926953","0.00014416664793926953","15_22:0.004061386658694044","15_22:660","true"
"16","288.5001368221475","18.760748175770928","4.9603281019871295","-0.3076594514774509","0.017822265625","0.01123046875","0.0244140625","1300","0.00020266573150949966","0","0.00020266573150949966","0.00020266573150949966","16_8:0.005170949410298664;16_26:0.020321854045456833","16_8:660;16_26:660","true"
"17","364.65825751158354","380.6367020620247","4.820823460371974","-0.30970435909943395","0.015869140625","0.01171875","0.02001953125","1300","0.00008765558046614122","0","0.00008765558046614122","0.00008765558046614122","17_30:0.011460943084515951","17_30:660","true"
"18","224.972814336646","95.82627050729589","4.788139278987067","-0.31063598977187784","0.10107421875","0.10107421875","0.10107421875","1300","0.00013857828128475887","0","0.00013857828128475887","0.00013857828128475887","18_19:0.003524641957663832","18_19:660","true"
"19","457.2989832566368","136.91368443249638","4.7469924322616","-0.31072395279331844","0.08447265625","0.09765625","0.0712890625","1300","0.00010453806549319182","0","0.00010453806549319182","0.00010453806549319182","","","true"
"20","410.2888221743437","357.75705038762663","4.862313786651259","-0.3090978906556921","0.03173828125","0.00830078125","0.05517578125","1300","0.00009915549778415388","0","0.00009915549778415388","0.00009915549778415388","20_33:0.07557417386603088;20_19:0.00378823974656739","20_33:660;20_19:660","true"
"21","259.79654599065157","150.10709991555004","4.9664950331928335","-0.30694839478531033","0.009033203125","0.00634765625","0.01171875","1300","0.00014034745345094108","0","0.00014034745345094108","0.00014034745345094108","21_20:0.00419144850517994;21_22:0.0046041816943603875","21_20:660;21_22:660","true"
"22","215.01312952665194","164.46142172127006","5.038197876457438","-0.3065535436677073","0.013916015625","0.01171875","0.01611328125","1300","0.00017698707928494645","0","0.00017698707928494645","0.00017698707928494645","22_23:0.009127236234974911","22_23:660","true"
"23","99.98580266829738","91.31522971294204","4.844974504703859","-0.309395699354676","0.015625","0.01416015625","0.01708984375","1300","0.0002994429402461877","0","0.0002994429402461877","0.0002994429402461877","","","true"
"24","230.84873319825118","119.6171321492539","5.100790397005483","-0.3054983979252499","0.12841796875","0.015625","0.2412109375","1300","0.00027625201675159224","0","0.00027625201675159224","0.00027625201675159224","24_23:1;24_34:1","24_23:660;24_34:660","true"
"25","215.43562208361718","169.80315562488158","4.945232228281061","-0.3084275156167526","0.0498046875","0.03759765625","0.06201171875","1300","0.00039067682173660304","0","0.00039067682173660304","0.00039067682173660304","25_24:1","25_24:660","true"
"26","228.94403018509547","25.909394563249723","4.854079644904046","-0.30976922795032275","0.0595703125","0.01953125","0.099609375","1300","0.0017112705850862613","0","0.0017112705850862613","0.0017112705850862613","26_25:0.023338367899591594","26_25:660","true"
