"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"10","149.27554972114368","143.84982420732905","0.0048828125","0.0078125","0.001953125","1560","0.00041995335009199585","0.00041995335009199585","0","0.00041995335009199585","0.00041995335009199585","10_9:0.003003424412883593;10_11:0.004881918022050125","10_9:84;10_11:84","true"
"11","188.8155779636415","99.29587820804801","0.01220703125","0.013671875","0.0107421875","1560","0.0002511184222014086","0.0002511184222014086","0","0.0002511184222014086","0.0002511184222014086","11_18:0.006459478507313432;11_10:0.004881918022050125;11_12:0.004397089024964107","11_18:84;11_10:84;11_12:84","true"
"12","66.27994437600304","54.917024553545055","0.021240234375","0.02783203125","0.0146484375","1560","0.00047452254069396677","0.00047452254069396677","0","0.00047452254069396677","0.00047452254069396677","12_13:0.0035727212462861035;12_11:0.004397089024964107","12_13:84;12_11:84","true"
"13","324.5644073712449","192.778746136761","0.01025390625","0.01123046875","0.00927734375","1560","0.00009720784506733954","0.00009720784506733954","0","0.00009720784506733954","0.00009720784506733954","13_12:0.0035727212462861035;13_14:0.0031834248123154274","13_12:84;13_14:84","true"
"14","149.13248841541312","89.51820502205332","0.005126953125","0.005859375","0.00439453125","1560","0.00020009598207616747","0.00020009598207616747","0","0.00020009598207616747","0.00020009598207616747","14_15:0.004296742648593199;14_13:0.0031834248123154274","14_15:84;14_13:84","true"
"15","98.9309072074654","145.35623914194088","0.030517578125","0.05224609375","0.0087890625","1560","0.00034038100815099746","0.00034038100815099746","0","0.00034038100815099746","0.00034038100815099746","15_14:0.004296742648593199;15_19:0.00343676124668435","15_14:84;15_19:84","true"
"16","143.14217591016939","119.10896671988213","0.01220703125","0.02294921875","0.00146484375","1560","0.0005248003720081138","0.0005248003720081138","0","0.0005248003720081138","0.0005248003720081138","16_23:0.00515226481202069;16_3:0.004616869967309312","16_23:84;16_3:84","true"
"17","169.31949485039232","109.28588621765722","0.01025390625","0.01904296875","0.00146484375","1560","0.0001664747873709208","0.0001664747873709208","0","0.0001664747873709208","0.0001664747873709208","17_7:0.004144463156866729;17_27:0.012879262588768259","17_7:84;17_27:84","true"
"18","133.43314686501176","43.10761154551461","0.005615234375","0.009765625","0.00146484375","1560","0.00024413690297319347","0.00024413690297319347","0","0.00024413690297319347","0.00024413690297319347","18_11:0.006459478507313432;18_31:0.007931503462714706","18_11:84;18_31:84","true"
"19","153.2810934179528","103.26710246535642","0.00732421875","0.01025390625","0.00439453125","1560","0.0003209595000997024","0.0003209595000997024","0","0.0003209595000997024","0.0003209595000997024","19_35:0.0025335626625334062;19_15:0.00343676124668435","19_35:84;19_15:84","true"
"20","116.9154363087561","146.34755034150308","0.006103515625","0.0087890625","0.00341796875","1560","0.00016112271061637218","0.00016112271061637218","0","0.00016112271061637218","0.00016112271061637218","20_21:0.008680666888697508","20_21:84","true"
"21","217.40946025566822","132.71632914623086","0.00537109375","0.009765625","0.0009765625","1560","0.00022873900208824922","0.00022873900208824922","0","0.00022873900208824922","0.00022873900208824922","21_36:0.007968198092387468;21_20:0.008680666888697508;21_22:0.0034821555277844696","21_36:84;21_20:84;21_22:84","true"
