"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","230.372633896778","60.58414230076402","0.011099999999999999","0.013","0.0092","2584","0.00019485517266371754","0.00019485517266371754","0","0.00019485517266371754","0.00019485517266371754","0_1:0.004337414842839504","0_1:0.001987760651340015","0_1:68","true"
"1","191.47649546113018","193.0753408178914","0.008000000000000007","0.0148","0.0012","2584","0.00008698554357761048","0.00008698554357761048","0","0.00008698554357761048","0.00008698554357761048","1_2:0.001953488167824702;1_0:0.004337414842839504","1_2:0.001894944377627883;1_0:0.001987760651340015","1_2:68;1_0:68","true"
"2","353.99548594691464","448.7335141752441","0.0027000000000000357","0.0054","0","2584","0.0001656492976541381","0.0001656492976541381","0","0.0001656492976541381","0.0001656492976541381","2_1:0.001953488167824702;2_3:0.0034638151668655026","2_1:0.001894944377627883;2_3:0.0013752275138793069","2_1:68;2_3:68","true"
"3","310.9251079181848","319.19541392464043","0.0047000000000000375","0.0072","0.0022","2584","0.00014808846680215552","0.00014808846680215552","0","0.00014808846680215552","0.00014808846680215552","3_16:0.004890523129659485;3_2:0.0034638151668655026;3_4:0.0025122988844256677","3_16:0.004203839568592244;3_2:0.0013752275138793069;3_4:0.005561387407316543","3_16:68;3_2:68;3_4:80","true"
"4","241.03130681423866","266.3783009354391","0.012299999999999978","0.0118","0.0128","2584","0.0002522988125179042","0.0002522988125179042","0","0.0002522988125179042","0.0002522988125179042","4_3:0.0025122988844256677;4_5:0.0019446740870261436","4_3:0.005561387407316543;4_5:0.003263188831393704","4_3:80;4_5:68","true"
"5","339.24816280998914","479.11918232507946","0.013499999999999956","0.0124","0.0146","2584","0.0001604113842118783","0.0001604113842118783","0","0.0001604113842118783","0.0001604113842118783","5_6:0.001995097657802536;5_4:0.0019446740870261436","5_6:0.002958811409288803;5_4:0.003263188831393704","5_6:68;5_4:68","true"
"6","308.52444240114676","285.9310850154468","0.0050000000000000044","0.0096","0.0004","2584","0.0001672035766741825","0.0001672035766741825","0","0.0001672035766741825","0.0001672035766741825","6_5:0.001995097657802536;6_7:0.0022974639475784042","6_5:0.002958811409288803;6_7:0.0014473234869007146","6_5:68;6_7:68","true"
"7","296.41864065985425","59.67738337635968","0.0036000000000000476","0.0068","0.0004","2584","0.00022110421159191146","0.00022110421159191146","0","0.00022110421159191146","0.00022110421159191146","7_17:0.0019892148615197613;7_6:0.0022974639475784042;7_8:0.002528610641377549","7_17:0.0021805558337129882;7_6:0.0014473234869007146;7_8:0.0026140041409287162","7_17:68;7_6:68;7_8:80","true"
"8","251.33452105013558","158.52698404310618","0.007800000000000029","0.0122","0.0034","2584","0.00014887273182924562","0.00014887273182924562","0","0.00014887273182924562","0.00014887273182924562","8_9:0.004134066080594467;8_7:0.002528610641377549","8_9:1;8_7:0.0026140041409287162","8_9:68;8_7:80","true"
"9","166.07330751939443","96.06505685922392","0.011399999999999966","0.0132","0.0096","2584","0.0001542968157029871","0.0001542968157029871","0","0.0001542968157029871","0.0001542968157029871","9_8:0.004134066080594467;9_10:0.003451446378517742","9_8:1;9_10:0.0020454598420479864","9_8:68;9_10:68","true"
"10","212.134340994201","143.42900185109016","0.0037000000000000366","0.006","0.0014","2584","0.00028620807741651947","0.00028620807741651947","0","0.00028620807741651947","0.00028620807741651947","10_9:0.003451446378517742;10_11:0.010472649370706744","10_9:0.0020454598420479864;10_11:0.0014742686710088049","10_9:68;10_11:68","true"
"11","344.36181518111135","165.58860517505445","0.009299999999999975","0.0148","0.0038","2584","0.0001555399844096835","0.0001555399844096835","0","0.0001555399844096835","0.0001555399844096835","11_18:0.003188544403328941;11_10:0.010472649370706744;11_12:0.0021731465214925028","11_18:0.003323160426595917;11_10:0.0014742686710088049;11_12:0.0018031708771172328","11_18:68;11_10:68;11_12:68","true"
"12","261.6276484864664","203.57466056594754","0.0028000000000000247","0.0054","0.0002","2584","0.00012430948811251893","0.00012430948811251893","0","0.00012430948811251893","0.00012430948811251893","12_13:0.0059640138423038835;12_11:0.0021731465214925028","12_13:0.0023312244066766297;12_11:0.0018031708771172328","12_13:80;12_11:68","true"
"13","198.10269919732093","325.0577169885952","0.007099999999999995","0.0084","0.0058","2584","0.00014877002980768844","0.00014877002980768844","0","0.00014877002980768844","0.00014877002980768844","13_12:0.0059640138423038835;13_14:0.0013947750071255371","13_12:0.0023312244066766297;13_14:0.00169399062258771","13_12:80;13_14:80","true"
"14","389.9584274330575","198.46406821664254","0.005600000000000049","0.0066","0.0046","2584","0.0001258547610073977","0.0001258547610073977","0","0.0001258547610073977","0.0001258547610073977","14_15:0.0012164525909628132;14_13:0.0013947750071255371","14_15:0.0014116953730624326;14_13:0.00169399062258771","14_15:68;14_13:80","true"
"15","354.4727140852216","25.937623691586072","0.012900000000000023","0.0126","0.0132","2584","0.00012206092049754964","0.00012206092049754964","0","0.00012206092049754964","0.00012206092049754964","15_14:0.0012164525909628132;15_19:0.0016454567836637901","15_14:0.0014116953730624326;15_19:0.0013348906171470887","15_14:68;15_19:68","true"
"16","116.81756953180127","150.99734056917967","0.010499999999999954","0.0182","0.0028","2584","0.0004313160266771616","0.0004313160266771616","0","0.0004313160266771616","0.0004313160266771616","16_23:0.005751493020024756;16_3:0.004890523129659485","16_23:0.003261107332566543;16_3:0.004203839568592244","16_23:68;16_3:68","true"
"17","275.7748022698309","38.631949795266436","0.011800000000000033","0.0136","0.01","2584","0.00032835719670938233","0.00032835719670938233","0","0.00032835719670938233","0.00032835719670938233","17_7:0.0019892148615197613;17_27:0.005166788026094549","17_7:0.0021805558337129882;17_27:1","17_7:68;17_27:68","true"
"18","86.0539865458377","109.6211022362249","0.011399999999999966","0.0194","0.0034","2584","0.00041769007022271563","0.00041769007022271563","0","0.00041769007022271563","0.00041769007022271563","18_11:0.003188544403328941;18_31:0.014296045649475564","18_11:0.003323160426595917;18_31:0.0030506497734424654","18_11:68;18_31:68","true"
"19","159.32559698547078","48.39380451816252","0.0050000000000000044","0.0074","0.0026","2584","0.00016775452176440872","0.00016775452176440872","0","0.00016775452176440872","0.00016775452176440872","19_35:0.002108536939520872;19_15:0.0016454567836637901","19_35:0.0019684028809656695;19_15:0.0013348906171470887","19_35:80;19_15:68","true"
"20","117.75319174252165","91.1027661698466","0.011299999999999977","0.0168","0.0058","2584","0.0003178046790580506","0.0003178046790580506","0","0.0003178046790580506","0.0003178046790580506","20_21:0.004137258685190381","20_21:0.003790830520936095","20_21:68","true"
"21","211.60009233063644","60.98387311585189","0.0036000000000000476","0.0058","0.0014","2584","0.00016834419804487196","0.00016834419804487196","0","0.00016834419804487196","0.00016834419804487196","21_36:0.0028066007468670606;21_20:0.004137258685190381;21_22:0.002193118132033711","21_36:0.0032501420671514625;21_20:0.003790830520936095;21_22:1","21_36:68;21_20:68;21_22:68","true"
"22","225.951753728539","41.295509963380816","0.018299999999999983","0.0178","0.0188","2584","0.00013527518319022178","0.00013527518319022178","0","0.00013527518319022178","0.00013527518319022178","22_23:0.003664674545588331;22_21:0.002193118132033711","22_23:0.00254776433584214;22_21:1","22_23:68;22_21:68","true"
"23","234.9529144836287","219.88978428620334","0.055499999999999994","0.051","0.06","2584","0.00041158422013284603","0.00041158422013284603","0","0.00041158422013284603","0.00041158422013284603","23_22:0.003664674545588331;23_24:1;23_16:0.005751493020024756","23_22:0.00254776433584214;23_24:1;23_16:0.003261107332566543","23_22:68;23_24:68;23_16:68","true"
"24","35.49771134569235","0.17982914179291226","0.2711","0.1984","0.3438","2584","0.00027110284115344053","0.00027110284115344053","0","0.00027110284115344053","0.00027110284115344053","24_23:1;24_25:1","24_23:1;24_25:1","24_23:68;24_25:68","true"
"25","179.2084568740509","106.7190565026462","0.09160000000000001","0.0686","0.1146","2584","0.00025060401562227005","0.00025060401562227005","0","0.00025060401562227005","0.00025060401562227005","25_24:1;25_26:0.013095213743542389;25_37:0.005992027626273433","25_24:1;25_26:0.017572476478537047;25_37:0.007022598186974427","25_24:68;25_26:68;25_37:68","true"
"26","7.000697450706453","9.271881446253888","0.07650000000000001","0.1008","0.0522","2584","0.0024591668749081664","0.0024591668749081664","0","0.0024591668749081664","0.0024591668749081664","26_25:0.013095213743542389;26_27:0.010245299021439003","26_25:0.017572476478537047;26_27:0.015072122478878847","26_25:68;26_27:68","true"
"27","160.59984316447398","208.66306463258113","0.018900000000000028","0.0364","0.0014","2584","0.00020308032492939504","0.00020308032492939504","0","0.00020308032492939504","0.00020308032492939504","27_26:0.010245299021439003;27_28:0.002688549074898461;27_17:0.005166788026094549","27_26:0.015072122478878847;27_28:0.004016872930388438;27_17:1","27_26:68;27_28:68;27_17:68","true"
"28","272.54045696672074","361.7165907369048","0.01880000000000004","0.0198","0.0178","2584","0.00015608147762498923","0.00015608147762498923","0","0.00015608147762498923","0.00015608147762498923","28_27:0.002688549074898461;28_29:0.004195104752469314","28_27:0.004016872930388438;28_29:1","28_27:68;28_29:68","true"
"29","210.47659448338544","264.4939062079725","0.02310000000000001","0.0252","0.021","2584","0.0001268860703906943","0.0001268860703906943","0","0.0001268860703906943","0.0001268860703906943","29_38:0.0037305187341976354;29_28:0.004195104752469314;29_30:0.0037105233207420096","29_38:0.004162547276604978;29_28:1;29_30:0.006933506510507864","29_38:68;29_28:68;29_30:68","true"
"30","286.58364369855167","83.86195305335207","0.014800000000000035","0.0184","0.0112","2584","0.00038630288767612964","0.00038630288767612964","0","0.00038630288767612964","0.00038630288767612964","30_31:0.002854523560491151;30_29:0.0037105233207420096","30_31:0.003012715539105426;30_29:0.006933506510507864","30_31:68;30_29:68","true"
